Abbreviation of the operating point;Name of the operating point;Abkuerzung Betriebspunkt Strecke;Name of operating point distance;LINIE;Kilometry of the operating point;LINIENNAME;VERWALTUNG;E;N;geopos;BPUIC;Didok Nummer;Name Haltestelle;lod
FSMS;Faido SMF Sud;FSMF;Faido SMF;598;240.87636;Cambiamento binari Faido SMF;SBB;2705642.927;1150107.237;46.4939470012,8.81473359235;8518325;18325;Faido SMF Süd;http://lod.opentransportdata.swiss/didok/8518325
FU;Full;FU;Full;701;52.26117;Eglisau - Koblenz - Stein Sackingen Ost;SBB;2657022.036;1273467.11;47.6094052204,8.19698049811;8500327;327;Full;http://lod.opentransportdata.swiss/didok/8500327
FUBI;Furet (bif);FUBI;Furet (bif);151;62.59316;Geneve St-Jean - La Plaine-Frontiere;SBB;2497887.71;1118340.74;46.2087541607,6.11551600358;8501028;1028;Furet (bif);http://lod.opentransportdata.swiss/didok/8501028
GDA;Gordola;GDA;Gordola;630;166.56799;Giubiasco - Locarno;SBB;2710197.594;1115176.397;46.1790403,8.86577323899;8505402;5402;Gordola;http://lod.opentransportdata.swiss/didok/8505402
GDNW;Arth-Goldau Nordwest;GD;Arth-Goldau;665;15.7583;Zug Sud - Arth-Goldau;SBB;2684412.861;1211511.327;47.0492579986,8.54955670423;8515396;15396;Arth-Goldau Nordwest;http://lod.opentransportdata.swiss/didok/8515396
GDO;Arth-Goldau Ost (Abzw);GD;Arth-Goldau;673;38.19952;Biberbrugg - Arth-Goldau;SBB;2684853.904;1211451.985;47.0486678916,8.5553491702;8515397;15397;Arth-Goldau Ost (Abzw);http://lod.opentransportdata.swiss/didok/8515397
GELN;Gellert Nord (Abzw);GELL;Gellert;520;3.12222;Gellert - Basel Bad DB;SBB;2613296.639;1267360.18;47.5568225163,7.61528129673;8515399;15399;Gellert Nord (Abzw);http://lod.opentransportdata.swiss/didok/8515399
GELN;Gellert Nord (Abzw);GELL;Gellert;522;0.73784;Umfahrung Nord: Gellert - Pratteln;SBB;2613296.639;1267360.18;47.5568225163,7.61528129673;8515399;15399;Gellert Nord (Abzw);http://lod.opentransportdata.swiss/didok/8515399
GELW;Gellert West (Abzw);GELL;Gellert;500;1.518;Basel SBB - Olten - Luzern;SBB;2612755.183;1266154.824;47.5459925428,7.60805304516;8515400;15400;Gellert West (Abzw);http://lod.opentransportdata.swiss/didok/8515400
GEPB;Geneve-La-Praille (bif);GEPR;Geneve-La-Praille;152;65.033;St-Jean - Geneve-Eaux-Vives - Annemasse;SBB;2498561.118;1114985.647;46.1786793364,6.12496904718;8517141;17141;Genève-La-Praille (bif);http://lod.opentransportdata.swiss/didok/8517141
GEPO;Geneve Poste 1;GE;Geneve;158;59.4;Geneve Poste 1 - Geneve FB - Geneve;SBB;2500130.147;1119284.219;46.2175771005,6.14436535858;8501038;1038;Genève Poste 1;http://lod.opentransportdata.swiss/didok/8501038
GEPR;Geneve-La-Praille;GEPR;Geneve-La-Praille;152;64.544;St-Jean - Geneve-Eaux-Vives - Annemasse;SBB;2498624.345;1115475.674;46.183096269,6.12568127834;8501009;1009;Genève-La-Praille;http://lod.opentransportdata.swiss/didok/8501009
GEXI;Gexi;GEXI;Gexi;654;63.88238;Gexi - Hendschiken Nord (Gleis links);SBB;2656927.433;1249351.378;47.3925293742,8.1926417889;8502133;2133;Gexi;http://lod.opentransportdata.swiss/didok/8502133
GEXO;Gexi Ost (Abzw);GEXI;Gexi;650;30.01033;Killwangen West - Lenzburg - Daniken Ost;SBB;2657123.07;1249394.057;47.3928962991,8.19523837476;8515401;15401;Gexi Ost (Abzw);http://lod.opentransportdata.swiss/didok/8515401
GIB;Gibswil;GIB;Gibswil;754;34.70027;Winterthur Gruze - Bauma - Ruti ZH West;SBB;2711663.275;1241366.574;47.3137200698,8.91551049142;8503137;3137;Gibswil;http://lod.opentransportdata.swiss/didok/8503137
GIU;Giubiasco;GIU;Giubiasco;600;154.04336;Immensee - Bellinzona - Chiasso;SBB;2720850.302;1114798.345;46.1738126869,9.00360006177;8505214;5214;Giubiasco;http://lod.opentransportdata.swiss/didok/8505214
GIUO;Giubiasco Ovest;GIU;Giubiasco;630;155.28297;Giubiasco - Locarno;SBB;2719914.216;1113994.893;46.1667539156,8.99127552848;8515975;15975;Giubiasco Ovest;http://lod.opentransportdata.swiss/didok/8515975
GLBS;Glattbrugg Sud (Abzw);GLBS;Glattbrugg Sud (Abzw);760;6.75063;Zurich Hardbrucke  - Bulach;SBB;2684529.2;1253463.252;47.4265452537,8.55896964474;8515460;15460;Glattbrugg Süd (Abzw);http://lod.opentransportdata.swiss/didok/8515460
GLO;Glovelier;GLO;Glovelier;240;96.39549;Delemont - Delle;SBB;2582668.271;1242730.974;47.3352094839,7.20931275509;8500123;123;Glovelier;http://lod.opentransportdata.swiss/didok/8500123
GLZB;Glanzenberg;GLZB;Glanzenberg;710;9.5493;Zurich HB - Brugg AG;SBB;2674116.452;1250247.441;47.3988787163,8.42044184995;8503512;3512;Glanzenberg;http://lod.opentransportdata.swiss/didok/8503512
GOL;Goldach;GOL;Goldach;880;67.99557;Sargans Ost - St.Gallen;SBB;2752891.535;1260090.074;47.473798113,9.46699699229;8506305;6305;Goldach;http://lod.opentransportdata.swiss/didok/8506305
GRO;Grolley;GRO;Grolley;253;40.11814;Payerne Est - Fribourg Nord;SBB;2571574.018;1186827.141;46.8319788359,7.06605257065;8504138;4138;Grolley;http://lod.opentransportdata.swiss/didok/8504138
GRUO;Gruonbach (Spw);GRUO;Gruonbach (Spw);600;30.87395;Immensee - Bellinzona - Chiasso;SBB;2690182.656;1196536.069;46.9151600374,8.62387995177;8505140;5140;Gruonbach (Spw);http://lod.opentransportdata.swiss/didok/8505140
GSAG;Emmenbrucke Gersag;GSAG;Emmenbrucke Gersag;500;89.155;Basel SBB - Olten - Luzern;SBB;2663655.6;1214484.071;47.0783141693,8.2768200794;8502028;2028;Emmenbrücke Gersag;http://lod.opentransportdata.swiss/didok/8502028
GZ;Galmiz;GZ;Galmiz;251;80.674;Palezieux Est - Lyss Nord;SBB;2578271.699;1200016.23;46.9508706262,7.15320735697;8504129;4129;Galmiz;http://lod.opentransportdata.swiss/didok/8504129
HED;Hedingen;HED;Hedingen;711;22.10764;ZH Hardbrucke - Kollermuhle;SBB;2676185.947;1239144.259;47.2987852368,8.44596559321;8502223;2223;Hedingen;http://lod.opentransportdata.swiss/didok/8502223
HGO;Horgen Oberdorf;HGO;Horgen Oberdorf;660;16.81272;Thalwil - Zug - Fluhmuhle;SBB;2687130.036;1234843.269;47.2587498232,8.58981587397;8502208;2208;Horgen Oberdorf;http://lod.opentransportdata.swiss/didok/8502208
HI;Hinwil;HI;Hinwil;742;13.96577;Hinwil - Baretswil - Bauma;SBB;2705960.695;1239742.648;47.3000569675,8.83971996098;8503130;3130;Hinwil;http://lod.opentransportdata.swiss/didok/8503130
HO;Hochdorf;HO;Hochdorf;651;13.71482;Hubeli - Beinwil - Lenzburg;SBB;2664450.999;1224350.048;47.1669752066,8.28869963779;8502024;2024;Hochdorf;http://lod.opentransportdata.swiss/didok/8502024
HRD;Hard Kaferberg (Abzw);HRD;Hard Kaferberg (Abzw);760;1.19544;Zurich Hardbrucke  - Bulach;SBB;2680997.068;1249520.234;47.3915284925,8.51144653427;8503038;3038;Hard Käferberg (Abzw);http://lod.opentransportdata.swiss/didok/8503038
HRDF;Hardfeld (Spw);HRDF;Hardfeld (Spw);457;91.6572;Hardfeld (Spw) - Mattstetten;SBB;2606788.286;1209642.832;47.0377869532,7.5279469397;8508000;8000;Hardfeld (Spw);http://lod.opentransportdata.swiss/didok/8508000
HURW;Hurlistein West;HUER;Hurlistein (Abzw);751;13.68029;ZH Langstr. - Wallisellen - Winterthur;SBB;2691345.703;1253329.672;47.4244333608,8.64927403236;8518270;18270;Hürlistein West;http://lod.opentransportdata.swiss/didok/8518270
INKV;Inkwil (Verzw);WANZ;Wanzwil (Abzw);415;70.59943;Wanzwil (Abzw) - Solothurn - Busswil;SBB;2617131.905;1227196.055;47.1954896418,7.66470442046;8516770;16770;Inkwil (Verzw);http://lod.opentransportdata.swiss/didok/8516770
JON;Jonction (Geneve);JON;Jonction (Geneve);154;0.9406;Furet - Jonction;SBB;2498286.872;1117563.821;46.2018268071,6.12085649953;8501041;1041;Jonction (Genève);http://lod.opentransportdata.swiss/didok/8501041
KAB;Kaltbrunn;KAB;Kaltbrunn;853;30.98199;Wil Sud - Wattwil - Uznach;SBB;2719961.049;1230882.529;47.2179832172,9.0224310375;8503117;3117;Kaltbrunn;http://lod.opentransportdata.swiss/didok/8503117
KAL;Kallnach;KAL;Kallnach;251;91.37025;Palezieux Est - Lyss Nord;SBB;2584534.831;1208295.928;47.0255234087,7.23519646251;8504402;4402;Kallnach;http://lod.opentransportdata.swiss/didok/8504402
KB;Koblenz;KB;Koblenz;702;41.12864;Turgi - Koblenz - Waldshut;SBB;2659293.033;1272481.279;47.600338308,8.22704965762;8500329;329;Koblenz;http://lod.opentransportdata.swiss/didok/8500329
KBGR;Koblenz Grenze;KBGR;Koblenz Grenze;702;42.68535;Turgi - Koblenz - Waldshut;SBB;2659825.475;1273465.984;47.6091454941,8.23426196205;8500330;330;Koblenz Grenze;http://lod.opentransportdata.swiss/didok/8500330
KI;Kiesen;KI;Kiesen;290;128.303;Bern Wylerfeld - Thun;SBB;2610444.737;1185319.161;46.818943814,7.57550132419;8507008;7008;Kiesen;http://lod.opentransportdata.swiss/didok/8507008
KLWW;Killwangen West (Abzw);KLW;Killwangen-Spreitenbach;691;16.5184;RBL Kopf Zurich - Killwangen West;SBB;2668725.525;1254231.03;47.4352897624,8.34964761959;8515450;15450;Killwangen West (Abzw);http://lod.opentransportdata.swiss/didok/8515450
KN;Kempten;KN;Kempten;753;15.75999;Effretikon - Wetzikon - Hinwil;SBB;2703252.16;1243251.66;47.3320431153,8.8047206925;8503300;3300;Kempten;http://lod.opentransportdata.swiss/didok/8503300
KOL;Kollbrunn;KOL;Kollbrunn;754;8.64454;Winterthur Gruze - Bauma - Ruti ZH West;SBB;2700692.782;1257249.965;47.4583241586,8.774016908;8506004;6004;Kollbrunn;http://lod.opentransportdata.swiss/didok/8506004
KRB;Kreuzlingen Bernrain;KRB;Kreuzlingen Bernrain;831;36.23236;Weinfelden - Tagermoos;SBB;2729585.318;1278252.728;47.6421145154,9.16320415414;8506197;6197;Kreuzlingen Bernrain;http://lod.opentransportdata.swiss/didok/8506197
KURZ;Kurzrickenbach Seepark;KURZ;Kurzrickenbach Seepark;824;98.85022;Romanshorn - Konstanz;SBB;2732073.788;1278415.446;47.6430808717,9.19635939851;8506119;6119;Kurzrickenbach Seepark;http://lod.opentransportdata.swiss/didok/8506119
KWL;Kesswil;KWL;Kesswil;824;88.08993;Romanshorn - Konstanz;SBB;2741295.68;1273336.981;47.5954977706,9.31742725045;8506123;6123;Kesswil;http://lod.opentransportdata.swiss/didok/8506123
KZW;Kerzers West (Abzw);KZ;Kerzers;251;84.64406;Palezieux Est - Lyss Nord;SBB;2581239.596;1202539.827;46.9736615574,7.1920890556;8518338;18338;Kerzers West (Abzw);http://lod.opentransportdata.swiss/didok/8518338
LAM;Lamone-Cadempino;LAM;Lamone-Cadempino;600;176.09835;Immensee - Bellinzona - Chiasso;SBB;2715615.26;1099786.737;46.0397186421,8.93212502393;8505219;5219;Lamone-Cadempino;http://lod.opentransportdata.swiss/didok/8505219
LAPR;Lancy-Pont-Rouge;LAPR;Lancy-Pont-Rouge;152;64.222;St-Jean - Geneve-Eaux-Vives - Annemasse;SBB;2498572.961;1115793.29;46.1859452996,6.12494698268;8516155;16155;Lancy-Pont-Rouge;http://lod.opentransportdata.swiss/didok/8516155
LBSE;Lenzburg Seetal;LB;Lenzburg;651;42.044;Hubeli - Beinwil - Lenzburg;SBB;2655299.314;1249122.245;47.3906072575,8.17104991352;8518791;18791;Lenzburg Seetal;http://lod.opentransportdata.swiss/didok/8518791
LBW;Lenzburg West (Abzw);LB;Lenzburg;645;60.18012;Lenzburg West - Suhr;SBB;2654909.42;1249348.182;47.3926718333,8.1659139374;8515407;15407;Lenzburg West (Abzw);http://lod.opentransportdata.swiss/didok/8515407
LECR;Lecheires (bif);LECR;Lecheires (bif);169;13.20909;Lausanne-Triage sect. - Bussigny;SBB;2531895.696;1154107.782;46.5347871189,6.55087778174;8501148;1148;Lécheires (bif);http://lod.opentransportdata.swiss/didok/8501148
LEI;Leibstadt;LEI;Leibstadt;701;55.27127;Eglisau - Koblenz - Stein Sackingen Ost;SBB;2654675.985;1271647.325;47.5932391515,8.16555699302;8500326;326;Leibstadt;http://lod.opentransportdata.swiss/didok/8500326
LEN;Lengnau;LEN;Lengnau;410;87.993;Olten - Solothurn - Biel/Bienne;SBB;2594536.583;1225388.844;47.1794313873,7.36655363682;8500201;201;Lengnau;http://lod.opentransportdata.swiss/didok/8500201
LENG;Lengwil;LENG;Lengwil;831;33.44794;Weinfelden - Tagermoos;SBB;2731660.711;1276461.737;47.6255977915,9.19028315307;8506196;6196;Lengwil;http://lod.opentransportdata.swiss/didok/8506196
LF;Laufelfingen;LF;Laufelfingen;503;30.82169;Sissach - Laufelfingen - Olten;SBB;2631529.418;1249117.833;47.3921328646,7.85623160355;8500035;35;Läufelfingen;http://lod.opentransportdata.swiss/didok/8500035
LFG;Laufenburg;LFG;Laufenburg;701;65.511;Eglisau - Koblenz - Stein Sackingen Ost;SBB;2646863.763;1267858.441;47.5597684142,8.06129609295;8500322;322;Laufenburg;http://lod.opentransportdata.swiss/didok/8500322
LFN;Laufen;LFN;Laufen;230;100.60738;Delemont Est - Basel SBB Ost;SBB;2604830.479;1252061.853;47.4193464565,7.50263614416;8500113;113;Laufen;http://lod.opentransportdata.swiss/didok/8500113
LG;Lugano;LG;Lugano;600;180.44953;Immensee - Bellinzona - Chiasso;SBB;2716839.415;1096005.55;46.0055005508,8.94699524398;8505300;5300;Lugano;http://lod.opentransportdata.swiss/didok/8505300
LGP;Lugano-Paradiso;LGP;Lugano-Paradiso;600;182.885;Immensee - Bellinzona - Chiasso;SBB;2716865.7092;1094212.8299;45.9893726405,8.94688976278;8505301;5301;Lugano-Paradiso;http://lod.opentransportdata.swiss/didok/8505301
LINB;Linthal Braunwaldbahn;LINB;Linthal Braunwaldbahn;736;83.96514;Ziegelbrucke Ost - Linthal Gleisende;SBB;2719092.673;1198664.175;46.9283958293,9.00249138427;8503240;3240;Linthal Braunwaldbahn;http://lod.opentransportdata.swiss/didok/8503240
LITT;Litti (Baar);LITT;Litti (Baar);660;24.516;Thalwil - Zug - Fluhmuhle;SBB;2683119.27;1229243.269;47.2089019466,8.53579702543;8502242;2242;Litti (Baar);http://lod.opentransportdata.swiss/didok/8502242
LLA;La Lance (diag);LLA;La Lance (diag);210;52.445;Daillens - Biel/Bienne;SBB;2546828.794;1190060.14;46.8595387095,6.74135034335;8515758;15758;La Lance (diag);http://lod.opentransportdata.swiss/didok/8515758
LN;Langnau i.E.;LN;Langnau i.E.;460;37.4672;Gumligen Sud - Fluhmuhle;SBB;2626312.175;1198741.352;46.9392422605,7.78419750003;8508207;8207;Langnau iE;http://lod.opentransportdata.swiss/didok/8508207
LNTO;Neustadttunnel Ost (Vzw);LZTB;Luzern Tiefbahnhof;9571;0.0;Ebikon Sud - Neustadttunnel West;SBB;2666281.0;1210739.0;47.0443720384,8.31083947463;8509012;9012;Neustadttunnel Ost (Vzw);http://lod.opentransportdata.swiss/didok/8509012
LO;Locarno;LO;Locarno;630;171.94048;Giubiasco - Locarno;SBB;2705237.205;1114352.147;46.1724202172,8.80136083521;8505400;5400;Locarno;http://lod.opentransportdata.swiss/didok/8505400
LONB;Lonay B (bif);LON;Lonay-Preverenges;150;9.7108;Lausanne - Geneve-Aeroport;SBB;2529846.956;1153022.02;46.52480869,6.52433937971;8515337;15337;Lonay B (bif);http://lod.opentransportdata.swiss/didok/8515337
LOP;Locarno (fine binario);LO;Locarno;630;172.00866;Giubiasco - Locarno;SBB;2705169.118;1114355.764;46.1724633201,8.80048025557;8515410;15410;Locarno (fine binario);http://lod.opentransportdata.swiss/didok/8515410
LOSI;Losinger (embr);LOSI;Losinger (embr);131;3.528;Les Paluds - St-Gingolph (Frontiere);SBB;2564816.715;1121407.389;46.2431783484,6.98248496819;8501438;1438;Losinger (embr);http://lod.opentransportdata.swiss/didok/8501438
LQ;Landquart;LQ;Landquart;910;0.0;Landquart - Klosters - Sagliains;SBB;2760969.261;1203988.14;46.9674404286,9.55404467894;8509002;9002;Landquart;http://lod.opentransportdata.swiss/didok/8509002
LSGS;Lichtensteig Sud (Abzw);LSG;Lichtensteig;870;51.05153;St.Gallen West - Lichtensteig;SOB;2724127.45;1241954.275;47.3167769115,9.08048148633;8515454;15454;Lichtensteig Süd (Abzw);http://lod.opentransportdata.swiss/didok/8515454
LTG;Langenthal GB;LTG;Langenthal GB;450;60.376;Olten Sud - Bern;SBB;2625107.252;1229371.11;47.2147993224,7.77006865637;8508144;8144;Langenthal GB;http://lod.opentransportdata.swiss/didok/8508144
LTH;Langenthal;LTH;Langenthal;413;0.0;Langenthal - Niederbipp;SBB;2626215.515;1229654.225;47.2173029163,7.78471520185;8508100;8100;Langenthal;http://lod.opentransportdata.swiss/didok/8508100
LTK;Lausanne-Triage K;LT;Lausanne-Triage;171;10.89228;Lausanne-Triage F - Lausanne-Triage Sud;SBB;2530028.992;1152934.562;46.5240410783,6.52672482305;8518429;18429;Lausanne-Triage K;http://lod.opentransportdata.swiss/didok/8518429
LTN;Lausanne-Triage Nord;LTN;Lausanne-Triage Nord;168;6.74618;Archy A - Lausanne-Triage Nord;SBB;2532295.94;1154574.658;46.5390274048,6.55602601746;8501142;1142;Lausanne-Triage Nord;http://lod.opentransportdata.swiss/didok/8501142
LTN;Lausanne-Triage Nord;LTN;Lausanne-Triage Nord;169;13.83921;Lausanne-Triage sect. - Bussigny;SBB;2532295.94;1154574.658;46.5390274048,6.55602601746;8501142;1142;Lausanne-Triage Nord;http://lod.opentransportdata.swiss/didok/8501142
LTSE;Lausanne-Triage sectionnement;LT;Lausanne-Triage;169;10.26692;Lausanne-Triage sect. - Bussigny;SBB;2529608.62;1152608.89;46.5210675228,6.52129645154;8515342;15342;Lausanne-Triage sectionnement;http://lod.opentransportdata.swiss/didok/8515342
LU;Luchsingen-Hatzingen;LU;Luchsingen-Hatzingen;736;78.69079;Ziegelbrucke Ost - Linthal Gleisende;SBB;2721791.08;1202796.601;46.9650706832,9.03902248657;8503236;3236;Luchsingen-Hätzingen;http://lod.opentransportdata.swiss/didok/8503236
LUC;Lucens;LUC;Lucens;251;43.38158;Palezieux Est - Lyss Nord;SBB;2554386.541;1173125.447;46.7077714014,6.84215021973;8504121;4121;Lucens;http://lod.opentransportdata.swiss/didok/8504121
LUT;Luterbach-Attisholz;LUT;Luterbach-Attisholz;410;70.34981;Olten - Solothurn - Biel/Bienne;SBB;2610975.661;1229589.607;47.2171492197,7.58352344644;8500208;208;Luterbach-Attisholz;http://lod.opentransportdata.swiss/didok/8500208
LVE;Le Verney (embr);LVE;Le Verney (embr);111;7.1;Vevey Ouest - Puidoux-Chexbres;SBB;2548128.461;1148744.469;46.488000854,6.76306826066;8504009;4009;Le Verney (embr);http://lod.opentransportdata.swiss/didok/8504009
LZZB;Luzern Einfahrt zb;LZ;Luzern;470;0.76799;Luzern - Meiringen;SBB;2666235.092;1210759.785;47.0445636205,8.31023842072;8518891;18891;Luzern Einfahrt zb;http://lod.opentransportdata.swiss/didok/8518891
MA;Martigny;MA;Martigny;100;66.49553;Lausanne - Simplon Tunnel I - Iselle;SBB;2572200.17;1106100.379;46.1058312162,7.07912412843;8501500;1500;Martigny;http://lod.opentransportdata.swiss/didok/8501500
MA;Martigny;MA;Martigny;132;0.0;Martigny - Le Chatelard-Frontiere;SBB;2572200.17;1106100.379;46.1058312162,7.07912412843;8501500;1500;Martigny;http://lod.opentransportdata.swiss/didok/8501500
MAET;Magenwil West (Abzw);MAEG;Magenwil;650;26.28803;Killwangen West - Lenzburg - Daniken Ost;SBB;2659784.834;1251697.316;47.4133750569,8.23079978018;8519042;19042;Mägenwil West (Abzw);http://lod.opentransportdata.swiss/didok/8519042
MAG;Magadino-Vira;MAG;Magadino-Vira;631;166.96358;Cadenazzo - Pino confine;SBB;2709061.819;1111406.221;46.1453157086,8.85018905603;8505406;5406;Magadino-Vira;http://lod.opentransportdata.swiss/didok/8505406
MAH;Mahlenwald;MAH;Mahlenwald;225;37.26975;Biel/Bienne West - La Chaux-de-Fonds;SBB;2586639.534;1222620.159;47.1544144565,7.26245667714;8504343;4343;Mahlenwald;http://lod.opentransportdata.swiss/didok/8504343
MAL;Malters;MAL;Malters;460;83.115;Gumligen Sud - Fluhmuhle;SBB;2656494.493;1209994.807;47.0385842485,8.18197191269;8508218;8218;Malters;http://lod.opentransportdata.swiss/didok/8508218
MAS;Massongex;MAS;Massongex;131;3.19935;Les Paluds - St-Gingolph (Frontiere);SBB;2565060.378;1121186.789;46.2412066868,6.98566056831;8501420;1420;Massongex;http://lod.opentransportdata.swiss/didok/8501420
MASN;Massagno Nord;MASN;Massagno Nord;608;178.61689;Massagno - Lugano (binario destro);SBB;2715702.569;1097353.876;46.0178228866,8.93265413406;8515412;15412;Massagno Nord;http://lod.opentransportdata.swiss/didok/8515412
MD;Moudon;MD;Moudon;251;37.97572;Palezieux Est - Lyss Nord;SBB;2551319.277;1168734.577;46.6680573682,6.80250797789;8504120;4120;Moudon;http://lod.opentransportdata.swiss/didok/8504120
MELN;Mellikon;MELN;Mellikon;701;36.19319;Eglisau - Koblenz - Stein Sackingen Ost;SBB;2668769.054;1269042.036;47.5684847165,8.35251066285;8503414;3414;Mellikon;http://lod.opentransportdata.swiss/didok/8503414
MELS;Mels;MELS;Mels;890;2.54876;Sargans Ost - Ziegelbrucke;SBB;2750358.983;1213309.231;47.053746248,9.41775823249;8509412;9412;Mels;http://lod.opentransportdata.swiss/didok/8509412
MEN;Mendrisio;MEN;Mendrisio;600;198.71338;Immensee - Bellinzona - Chiasso;SBB;2719585.752;1080893.637;45.8691086354,8.97861089463;8505305;5305;Mendrisio;http://lod.opentransportdata.swiss/didok/8505305
MENS;Mendrisio Sud (bif);MEN;Mendrisio;600;199.24599;Immensee - Bellinzona - Chiasso;SBB;2719252.363;1080480.25;45.8654495677,8.9742145691;8515415;15415;Mendrisio Sud (bif);http://lod.opentransportdata.swiss/didok/8515415
MEZC;Mezzovico (c bin);MEZC;Mezzovico (c bin);600;170.03;Immensee - Bellinzona - Chiasso;SBB;2714798.222;1104794.934;46.0849012774,8.92279711841;8505248;5248;Mezzovico (c bin);http://lod.opentransportdata.swiss/didok/8505248
MIES;Mies;MIES;Mies;150;49.678;Lausanne - Geneve-Aeroport;SBB;2502072.9652;1128248.1856;46.2984888736,6.16765471213;8501014;1014;Mies;http://lod.opentransportdata.swiss/didok/8501014
MIT;Mitlodi;MIT;Mitlodi;736;72.26972;Ziegelbrucke Ost - Linthal Gleisende;SBB;2724896.394;1207871.35;47.0101316138,9.08121188749;8503232;3232;Mitlödi;http://lod.opentransportdata.swiss/didok/8503232
ML;Meilen;ML;Meilen;730;19.46176;Zurich Stadelhofen - Rapperswil;SBB;2691235.47;1236134.851;47.2698111422,8.64431191081;8503104;3104;Meilen;http://lod.opentransportdata.swiss/didok/8503104
MOR;Morges;MOR;Morges;150;12.5035;Lausanne - Geneve-Aeroport;SBB;2527498.454;1151525.985;46.5111011525,6.49396944931;8501037;1037;Morges;http://lod.opentransportdata.swiss/didok/8501037
MOSM;Mendrisio S. Martino;MOSM;Mendrisio S. Martino;600;197.702;Immensee - Bellinzona - Chiasso;SBB;2719915.987;1081802.062;45.8772201808,8.9830927586;8518475;18475;Mendrisio S Martino;http://lod.opentransportdata.swiss/didok/8518475
MRT;Murten/Morat;MRT;Murten/Morat;251;76.52106;Palezieux Est - Lyss Nord;SBB;2575372.918;1197189.989;46.9253467003,7.11528267368;8504128;4128;Murten/Morat;http://lod.opentransportdata.swiss/didok/8504128
MSCH;Munsterlingen-Scherzingen;MSCH;Munsterlingen-Scherzingen;824;96.16578;Romanshorn - Konstanz;SBB;2734401.04;1277394.309;47.6334266485,9.22701176502;8506126;6126;Münsterlingen-Scherzingen;http://lod.opentransportdata.swiss/didok/8506126
MST;Munchenstein;MST;Munchenstein;230;118.30169;Delemont Est - Basel SBB Ost;SBB;2613481.875;1262532.235;47.5133973174,7.61759675648;8500119;119;Münchenstein;http://lod.opentransportdata.swiss/didok/8500119
