Abbreviation of the operating point;Name of the operating point;Abkuerzung Betriebspunkt Strecke;Name of operating point distance;LINIE;Kilometry of the operating point;LINIENNAME;VERWALTUNG;E;N;geopos;BPUIC;Didok Nummer;Name Haltestelle;lod
EINF;Einfang (Abzw);EINF;Einfang (Abzw);708;6.32009;Zurich Altstetten - Einfang;SBB;2677295.927;1250282.946;47.398832642,8.46256172893;8503510;3510;Einfang (Abzw);http://lod.opentransportdata.swiss/didok/8503510
EINF;Einfang (Abzw);EINF;Einfang (Abzw);710;6.31936;Zurich HB - Brugg AG;SBB;2677295.927;1250282.946;47.398832642,8.46256172893;8503510;3510;Einfang (Abzw);http://lod.opentransportdata.swiss/didok/8503510
ERLB;Erlenbach ZH;ERLB;Erlenbach ZH;730;13.47249;Zurich Stadelhofen - Rapperswil;SBB;2687182.35;1240074.704;47.3057919232,8.59152235647;8503102;3102;Erlenbach ZH;http://lod.opentransportdata.swiss/didok/8503102
ESCH;Escholzmatt;ESCH;Escholzmatt;460;52.18869;Gumligen Sud - Fluhmuhle;SBB;2637916.283;1196147.274;46.9153481956,7.93637791795;8508210;8210;Escholzmatt;http://lod.opentransportdata.swiss/didok/8508210
ESL;Eschlikon;ESL;Eschlikon;850;117.4467;St.Gallen - Winterthur Nord;SBB;2714597.657;1257855.181;47.4614910495,8.95853624143;8506011;6011;Eschlikon;http://lod.opentransportdata.swiss/didok/8506011
EV;Evionnaz;EV;Evionnaz;100;57.85466;Lausanne - Simplon Tunnel I - Iselle;SBB;2568092.404;1113171.261;46.1692543709,7.02551810099;8501404;1404;Evionnaz;http://lod.opentransportdata.swiss/didok/8501404
EVOU;Les Evouettes;EVOU;Les Evouettes;131;19.52614;Les Paluds - St-Gingolph (Frontiere);SBB;2556966.445;1134763.808;46.3628669916,6.87947028534;8501425;1425;Les Evouettes;http://lod.opentransportdata.swiss/didok/8501425
EWW;Etzwilen West (Abzw);EW;Etzwilen;821;31.55627;Oberwinterthur - Etzwilen West (Abzw);SBB;2703415.022;1279787.347;47.6605651074,8.81535639795;8515443;15443;Etzwilen West (Abzw);http://lod.opentransportdata.swiss/didok/8515443
EZG;Etzgen;EZG;Etzgen;701;60.94359;Eglisau - Koblenz - Stein Sackingen Ost;SBB;2650083.056;1269297.788;47.5724755147,8.10423078329;8500324;324;Etzgen;http://lod.opentransportdata.swiss/didok/8500324
FMS;Flums;FMS;Flums;890;9.7298;Sargans Ost - Ziegelbrucke;SBB;2744938.988;1217942.392;47.0966166348,9.34792927358;8509413;9413;Flums;http://lod.opentransportdata.swiss/didok/8509413
FMUE;Fluhmuhle (Abzw);FMUE;Fluhmuhle (Abzw);460;91.83103;Gumligen Sud - Fluhmuhle;SBB;2664443.189;1212078.436;47.0566007468,8.28684763509;8505043;5043;Fluhmühle (Abzw);http://lod.opentransportdata.swiss/didok/8505043
FSMN;Faido SMF Nord;FSMF;Faido SMF;598;239.82064;Cambiamento binari Faido SMF;SBB;2705073.237;1150991.197;46.5019871941,8.807515251;8518324;18324;Faido SMF Nord;http://lod.opentransportdata.swiss/didok/8518324
